"","Plot","Block","Tx","Stake #","Bare Ground","Darkly Pigmented Cyanobacteria","Lichen","Lightly Pigmented Cyanobacteria","N-Fixing Lichen","Plant Base","Plant Litter","Rock","Short Moss","Tall Moss","frame_total"
"28","B",2,"LW",8,0,0,0,10,0,0,50,0,0,40,100
"29","B",2,"W",5,0,5,0,5,15,5,45,0,0,25,100
"30","B",2,"W",6,0,15,0,25,0,0,40,0,0,20,100
"31","B",2,"W",7,5,35,0,45,5,0,10,0,0,0,100
"32","B",2,"W",8,0,35,0,15,10,5,20,0,0,15,100
"33","B",3,"C",5,10,0,0,0,0,20,65,0,0,5,100
"34","B",3,"C",6,0,0,0,0,0,0,100,0,0,0,100
"35","B",3,"C",7,10,5,0,20,0,0,45,0,0,20,100
"36","B",3,"C",8,5,5,0,0,5,0,0,75,0,10,100
"37","B",3,"L",5,0,0,0,50,0,35,0,15,0,0,100
"38","B",3,"L",6,0,0,0,20,5,0,65,10,0,0,100
"39","B",3,"L",7,0,15,0,55,0,0,25,0,0,5,100
"40","B",3,"L",8,0,0,0,15,0,0,80,0,0,5,100
"41","B",3,"LW",5,0,0,0,35,0,0,20,45,0,0,100
"42","B",3,"LW",6,0,0,0,65,0,0,0,35,0,0,100
"43","B",3,"LW",7,0,0,0,60,0,0,5,35,0,0,100
"44","B",3,"LW",8,0,5,0,45,0,0,40,10,0,0,100
"45","B",3,"W",5,0,0,0,5,0,0,90,0,0,5,100
"46","B",3,"W",6,0,25,0,35,20,0,10,5,0,5,100
"47","B",3,"W",7,0,20,0,50,10,0,15,0,0,5,100
"48","B",3,"W",8,5,10,0,75,5,0,5,0,0,0,100
"49","B",4,"C",5,0,0,0,25,0,0,10,0,0,65,100
"50","B",4,"C",6,0,0,0,10,0,0,20,0,0,70,100
"51","B",4,"C",7,0,0,0,10,0,0,15,10,0,65,100
"52","B",4,"C",8,0,0,0,0,0,0,25,5,0,70,100
"53","B",4,"L",5,0,0,0,60,0,0,40,0,0,0,100
"54","B",4,"L",6,0,0,0,15,0,0,75,10,0,0,100
"55","B",4,"L",7,0,0,0,35,0,0,60,5,0,0,100
"56","B",4,"L",8,5,0,0,15,0,0,75,5,0,0,100
"57","B",4,"LW",5,0,0,0,40,0,0,50,10,0,0,100
"58","B",4,"LW",6,0,10,0,15,0,0,75,0,0,0,100
"59","B",4,"LW",7,0,10,0,20,0,0,70,0,0,0,100
"60","B",4,"LW",8,0,0,0,0,0,0,100,0,0,0,100
"61","B",4,"W",5,0,5,0,50,0,0,15,30,0,0,100
"62","B",4,"W",6,0,10,0,30,10,0,50,0,0,0,100
"63","B",4,"W",7,0,0,0,0,0,0,85,10,0,5,100
"64","B",4,"W",8,0,5,0,5,5,0,80,0,0,5,100
"65","B",5,"C",5,0,5,0,0,0,0,45,0,0,50,100
"66","B",5,"C",6,0,5,0,10,5,0,50,0,0,30,100
"67","B",5,"C",7,0,10,0,0,0,5,45,0,0,40,100
"68","B",5,"C",8,0,5,0,25,0,0,70,0,0,0,100
"69","B",5,"L",5,0,15,0,45,5,0,10,0,0,25,100
"70","B",5,"L",6,0,0,0,75,0,0,20,5,0,0,100
"71","B",5,"L",7,5,0,0,60,5,0,30,0,0,0,100
"72","B",5,"L",8,0,5,0,70,5,5,10,5,0,0,100
"73","B",5,"LW",5,0,0,0,55,0,0,45,0,0,0,100
"74","B",5,"LW",6,0,0,0,75,0,0,25,0,0,0,100
"75","B",5,"LW",7,0,0,0,85,0,0,0,15,0,0,100
"76","B",5,"LW",8,0,0,0,95,0,0,0,5,0,0,100
"77","B",5,"W",5,0,0,0,0,0,25,60,5,0,10,100
"78","B",5,"W",6,5,5,0,20,0,0,65,5,0,0,100
"79","B",5,"W",7,0,0,0,0,0,0,100,0,0,0,100
"80","B",5,"W",8,0,0,0,0,0,0,100,0,0,0,100
"81","C",1,"C",1,0,0,0,20,5,0,45,0,0,30,100
"82","C",1,"C",2,0,0,0,25,0,0,75,0,0,0,100
"83","C",1,"C",3,0,0,0,10,0,0,90,0,0,0,100
"84","C",1,"C",4,0,0,0,10,10,0,30,0,0,50,100
"85","C",1,"L",1,0,0,0,0,0,5,80,0,0,15,100
"86","C",1,"L",2,0,0,0,20,0,5,65,0,0,10,100
"87","C",1,"L",3,0,0,0,5,0,0,95,0,0,0,100
"88","C",1,"L",4,0,0,0,0,0,0,100,0,0,0,100
"89","C",1,"LW",1,0,15,0,10,5,0,60,5,0,5,100
"90","C",1,"LW",2,0,5,5,25,0,5,35,0,10,15,100
"91","C",1,"LW",3,0,5,0,5,0,0,85,0,0,5,100
"92","C",1,"LW",4,0,0,0,15,0,0,80,5,0,0,100
"93","C",1,"W",1,0,10,0,25,10,0,30,0,0,25,100
"94","C",1,"W",2,0,0,0,25,0,0,50,0,0,25,100
"95","C",1,"W",3,0,0,0,20,0,0,30,20,0,30,100
"96","C",1,"W",4,0,0,0,0,0,0,85,5,0,10,100
"97","C",2,"C",1,0,20,0,5,0,10,65,0,0,0,100
"98","C",2,"C",2,0,5,0,25,5,5,45,0,0,15,100
"99","C",2,"C",3,0,15,0,5,5,25,40,5,0,5,100
"100","C",2,"C",4,0,5,0,35,0,0,35,0,0,25,100
"101","C",2,"L",1,0,5,0,0,5,0,40,0,0,50,100
"102","C",2,"L",2,0,0,0,63.1578947368421,0,5.26315789473684,0,0,0,31.5789473684211,100
"103","C",2,"L",3,0,0,0,0,0,0,100,0,0,0,100
"104","C",2,"L",4,0,0,0,0,0,0,100,0,0,0,100
"105","C",2,"LW",1,0,10,0,0,0,0,45,0,0,45,100
"106","C",2,"LW",2,0,0,0,10,0,0,90,0,0,0,100
"107","C",2,"LW",3,0,0,0,95,0,0,0,5,0,0,100
"108","C",2,"LW",4,0,15,0,65,0,0,20,0,0,0,100
"109","C",2,"W",1,0,0,0,0,0,75,25,0,0,0,100
"110","C",2,"W",2,0,5,0,0,0,20,70,5,0,0,100
"111","C",2,"W",3,0,0,0,5,5,0,50,0,0,40,100
"112","C",2,"W",4,0,0,0,0,0,0,75,0,0,25,100
"113","C",3,"C",1,0,5,0,5,20,0,70,0,0,0,100
"114","C",3,"C",2,0,0,0,55,5,5,20,0,0,15,100
"115","C",3,"C",3,0,0,5,15,0,5,15,20,0,40,100
"116","C",3,"C",4,0,0,0,20,25,0,0,50,0,5,100
"117","C",3,"L",1,0,0,5,60,0,0,20,0,0,15,100
"118","C",3,"L",2,0,15,0,60,0,5,20,0,0,0,100
"119","C",3,"L",3,0,10,0,30,5,5,0,25,0,25,100
"120","C",3,"L",4,0,0,0,45,0,0,25,15,0,15,100
"121","C",3,"LW",1,0,0,0,5,5,0,20,0,0,70,100
"122","C",3,"LW",2,0,15,0,5,10,5,5,0,0,60,100
"123","C",3,"LW",3,0,5,0,50,5,0,20,0,0,20,100
"124","C",3,"LW",4,0,5,0,10,0,0,70,0,0,15,100
"125","C",3,"W",1,0,0,0,15,0,5,25,30,0,25,100
"126","C",3,"W",2,0,15,0,45,0,0,10,10,0,20,100
"127","C",3,"W",3,0,5,0,90,0,0,0,5,0,0,100
"128","C",3,"W",4,0,5,0,90,0,0,0,5,0,0,100
"129","C",4,"C",1,0,0,15,15,0,55,0,0,0,15,100
"130","C",4,"C",2,0,0,0,0,0,75,25,0,0,0,100
"131","C",4,"C",3,0,0,0,0,0,25,75,0,0,0,100
"132","C",4,"C",4,0,0,0,0,0,10,90,0,0,0,100
"133","C",4,"L",1,0,0,0,0,0,0,95,0,0,5,100
"134","C",4,"L",2,0,0,0,20,0,5,70,0,0,5,100
"135","C",4,"L",3,0,5,0,35,5,0,40,0,0,15,100
"136","C",4,"L",4,5,10,0,55,0,0,15,0,0,15,100
"137","C",4,"LW",1,0,0,0,25,0,0,35,5,0,35,100
"138","C",4,"LW",2,0,50,0,5,20,0,0,0,0,25,100
"139","C",4,"LW",3,0,35,0,10,5,5,15,0,0,30,100
"140","C",4,"LW",4,0,5,0,0,0,0,95,0,0,0,100
"141","C",4,"W",1,0,10,5,5,0,10,30,0,0,40,100
"142","C",4,"W",2,0,0,0,0,0,5,60,0,0,35,100
"143","C",4,"W",3,0,0,0,0,0,15,85,0,0,0,100
"144","C",4,"W",4,0,0,0,0,0,0,65,0,0,35,100
"145","C",5,"C",1,0,15,0,5,0,0,5,0,0,75,100
"146","C",5,"C",2,0,20,0,15,0,5,15,5,0,40,100
"147","C",5,"C",3,0,10,0,30,0,0,0,55,0,5,100
"148","C",5,"C",4,0,0,0,40,15,0,5,30,0,10,100
"149","C",5,"L",1,0,20,0,10,5,5,10,0,0,50,100
"150","C",5,"L",2,0,15,0,20,0,0,20,0,0,45,100
"151","C",5,"L",3,0,0,5,15,0,5,40,0,0,35,100
"152","C",5,"L",4,0,5,5,55,0,5,15,0,0,15,100
"153","C",5,"LW",1,0,10,0,25,10,10,20,0,0,25,100
"154","C",5,"LW",2,0,0,5,15,15,0,45,0,0,20,100
"155","C",5,"LW",3,0,0,0,15,5,5,30,0,0,45,100
"156","C",5,"LW",4,0,5,0,50,5,5,20,10,0,5,100
"157","C",5,"W",1,0,10,10,10,10,0,5,0,0,55,100
"158","C",5,"W",2,0,15,0,25,15,0,25,0,0,20,100
"159","C",5,"W",3,0,5,0,70,25,0,0,0,0,0,100
"160","C",5,"W",4,0,10,0,65,0,10,10,5,0,0,100
