"","Plot","Bare Ground_mean","Bare Ground_SE","Darkly Pigmented Cyanobacteria_mean","Darkly Pigmented Cyanobacteria_SE","Lichen_mean","Lichen_SE","Lightly Pigmented Cyanobacteria_mean","Lightly Pigmented Cyanobacteria_SE","N-Fixing Lichen_mean","N-Fixing Lichen_SE","Plant Base_mean","Plant Base_SE","Plant Litter_mean","Plant Litter_SE","Rock_mean","Rock_SE","Short Moss_mean","Short Moss_SE","Tall Moss_mean","Tall Moss_SE"
"11","B3LW",0,0,1.25,1.25,0,0,51.25,6.88446318410763,0,0,0,0,16.25,8.98494110535326,7.8125,2.92149897313006,0,0,0,0
"12","B3W",1.25,1.25,13.75,5.54338945652086,0,0,41.25,14.6308748883995,2.91666666666667,1.78994808344101,0,0,30,20.1038968030247,0.3125,0.3125,0,0,3.75,1.25
"13","B4C",0,0,0,0,0,0,11.25,5.15388203202208,0,0,0,0,17.5,3.22748612183951,0.9375,0.503891109268659,0,0,67.5,1.44337567297406
"14","B4L",1.25,1.25,0,0,0,0,31.25,10.6800046816469,0,0,0,0,62.5,8.2915619758885,1.25,0.559016994374947,0,0,0,0
"15","B4LW",0,0,5,2.88675134594813,0,0,18.75,8.26009483399959,0,0,0,0,73.75,10.2824688993776,0.625,0.426956281914983,0,0,0,0
"16","B4W",0,0,5,2.04124145231932,0,0,21.25,11.614466553972,1.25,0.652791209833867,0,0,57.5,16.1374306091976,2.5,1.36930639376292,0,0,2.5,1.44337567297406
"17","B5C",0,0,6.25,1.25,0,0,8.75,5.90726953281576,0.416666666666667,0.416666666666667,1.25,1.25,52.5,5.95119035711904,0,0,0,0,30,10.8012344973464
"18","B5L",1.25,1.25,5,3.53553390593274,0,0,62.5,6.61437827766148,1.25,0.652791209833867,1.25,1.25,17.5,4.78713553878169,0.625,0.426956281914983,0,0,6.25,6.25
"19","B5LW",0,0,0,0,0,0,77.5,8.53912563829966,0,0,0,0,17.5,10.8972473588517,1.25,0.559016994374947,0,0,0,0
"20","B5W",1.25,1.25,1.25,1.25,0,0,5,5,0,0,6.25,6.25,81.25,10.8733236255832,0.625,0.426956281914983,0,0,2.5,2.5
"21","C1C",0,0,0,0,0,0,16.25,3.75,1.25,0.897175703206592,0,0,60,13.6930639376292,0,0,0,0,20,12.2474487139159
"22","C1L",0,0,0,0,0,0,6.25,4.73242362150023,0,0,2.5,1.44337567297406,85,7.90569415042095,0,0,0,0,6.25,3.75
"23","C1LW",0,0,6.25,3.14576434802948,0.416666666666667,0.416666666666667,13.75,4.26956281914983,0.416666666666667,0.416666666666667,1.25,1.25,65,11.3651514141549,0.625,0.426956281914983,2.5,2.5,6.25,3.14576434802948
"24","C1W",0,0,2.5,2.5,0,0,17.5,5.95119035711904,0.833333333333333,0.833333333333333,0,0,48.75,12.9703186802278,1.5625,0.9915003361909,0,0,22.5,4.33012701892219
"25","C2C",0,0,11.25,3.75,0,0,17.5,7.5,0.833333333333333,0.561833218719368,10,5.40061724867322,46.25,6.57488909919146,0.3125,0.3125,0,0,11.25,5.54338945652086
"26","C2L",0,0,1.25,1.25,0,0,15.7894736842105,15.7894736842105,0.416666666666667,0.416666666666667,1.31578947368421,1.31578947368421,60,24.4948974278318,0,0,0,0,20.3947368421053,12.3607198868789
"27","C2LW",0,0,6.25,3.75,0,0,42.5,22.5924028528766,0,0,0,0,38.75,19.405218370325,0.3125,0.3125,0,0,11.25,11.25
"28","C2W",0,0,1.25,1.25,0,0,1.25,1.25,0.416666666666667,0.416666666666667,23.75,17.7218085984473,55,11.3651514141549,0.3125,0.3125,0,0,16.25,9.86893273527251
"29","C3C",0,0,1.25,1.25,0.416666666666667,0.416666666666667,23.75,10.8733236255832,4.16666666666667,2.28908256511184,2.5,1.44337567297406,26.25,15.1897717779652,4.375,1.63777033391946,0,0,15,8.89756521002609
"30","C3L",0,0,6.25,3.75,0.416666666666667,0.416666666666667,48.75,7.18070330817254,0.416666666666667,0.416666666666667,2.5,1.44337567297406,16.25,5.54338945652086,2.5,1.29099444873581,0,0,13.75,5.15388203202208
"31","C3LW",0,0,6.25,3.14576434802948,0,0,17.5,10.8972473588517,1.66666666666667,0.940126791362944,1.25,1.25,28.75,14.1972708645007,0,0,0,0,41.25,13.9006894313436
"32","C3W",0,0,6.25,3.14576434802948,0,0,60,18.3711730708738,0,0,1.25,1.25,8.75,5.90726953281576,3.125,1.35976407267339,0,0,11.25,6.57488909919146
"33","C4C",0,0,0,0,1.25,1.25,3.75,3.75,0,0,41.25,14.6308748883995,47.5,21.0653744329409,0,0,0,0,3.75,3.75
"34","C4L",1.25,1.25,3.75,2.39356776939085,0,0,27.5,11.6368667031408,0.416666666666667,0.416666666666667,1.25,1.25,55,17.4403746137136,0,0,0,0,10,2.88675134594813
"35","C4LW",0,0,22.5,11.9895788082818,0,0,10,5.40061724867322,2.08333333333333,1.29952399987943,1.25,1.25,36.25,20.8541562604037,0.3125,0.3125,0,0,22.5,7.77281587757401
"36","C4W",0,0,2.5,2.5,0.416666666666667,0.416666666666667,1.25,1.25,0,0,7.5,3.22748612183951,60,11.3651514141549,0,0,0,0,27.5,9.24211375534118
"37","C5C",0,0,11.25,4.26956281914983,0,0,22.5,7.77281587757401,1.25,0.897175703206592,1.25,1.25,6.25,3.14576434802948,5.625,2.45267710879357,0,0,32.5,16.1374306091976
"38","C5L",0,0,10,4.56435464587638,0.833333333333333,0.561833218719368,25,10.2062072615966,0.416666666666667,0.416666666666667,3.75,1.25,21.25,6.57488909919146,0,0,0,0,36.25,7.73923984208613
"39","C5LW",0,0,3.75,2.39356776939085,0.416666666666667,0.416666666666667,26.25,8.26009483399959,2.91666666666667,1.43789794667442,5,2.04124145231932,28.75,5.90726953281576,0.625,0.625,0,0,23.75,8.26009483399959
"40","C5W",0,0,10,2.04124145231932,0.833333333333333,0.561833218719368,42.5,14.790199457749,4.16666666666667,1.48647097502641,2.5,2.5,10,5.40061724867322,0.3125,0.3125,0,0,18.75,12.9703186802278
